ci,x0_0,x0_1,x0_2,x0_3,lambda_1,lambda_2,lambda_3,lambda_4,lmax,status
1,0.0007208209303,0.0008060224886,1.237886865,1.206339769,-0.0004510140052,-0.005526640605,-0.1274926663,-1.121138099,-0.0004510140052,stable
2,0.0006885071425,0.0006885035757,1.078440055,1.2696343,-0.0006482106381,-0.005579595193,-0.1272533013,-1.121127313,-0.0006482106381,stable
3,0.0007543256141,0.0007701419271,1.069567784,1.294177637,-0.0006591921113,-0.005571724845,-0.1272504595,-1.121127044,-0.0006591921113,stable
4,0.000788533107,0.0006968355125,1.107717191,1.108090909,-0.000391743019,-0.005718599398,-0.1273542645,-1.121143813,-0.000391743019,stable
5,0.0007104256563,0.0007430341155,1.166895456,1.133602157,-0.0005604291366,-0.005465529886,-0.12743303,-1.121149431,-0.0005604291366,stable
6,0.0007559134748,0.0006860635464,1.133818766,1.151378513,-0.0003829232789,-0.005748310131,-0.1273379371,-1.12113925,-0.0003829232789,stable
7,0.0007328771309,0.0007815435632,1.11194021,1.186365087,-0.0005083584427,-0.005680324065,-0.1272882492,-1.121131489,-0.0005083584427,stable
8,0.0007530390391,0.0006723047788,1.208442279,1.105043417,-0.00123129992,-0.004703012176,-0.1275234853,-1.121150623,-0.00123129992,stable
9,0.0006750554219,0.00080575206,1.293165508,1.255963868,-0.0005741583518,-0.005520561916,-0.1273814154,-1.121132285,-0.0005741583518,stable
10,0.0007104805956,0.0006798791701,1.226586659,1.16883734,-0.0002249127991,-0.005653526933,-0.1275836844,-1.121146296,-0.0002249127991,stable
11,0.0006834823018,0.000738660054,1.072833809,1.279842207,-0.0006504010508,-0.005578249818,-0.1272525161,-1.121127253,-0.0006504010508,stable
12,0.0007037029402,0.0007634061932,1.138448172,1.18774531,-0.0005496931105,-0.005631020031,-0.127297229,-1.121130478,-0.0005496931105,stable
13,0.0007462805331,0.0006927712286,1.294100689,1.2480935,-0.0005402505806,-0.005541313262,-0.1273939275,-1.121132929,-0.0005402505806,stable
14,0.0008043640204,0.0007977582244,1.206160308,1.282812437,-0.00150780346,-0.004684123104,-0.127288965,-1.121127529,-0.00150780346,stable
15,0.0006785217382,0.0006944168379,1.075398256,1.14167048,-0.0004010799248,-0.005757951048,-0.1273121537,-1.121137236,-0.0004010799248,stable
16,0.0007229114596,0.0007055615841,1.260776339,1.149105143,-0.0002270739935,-0.005674329473,-0.1275618179,-1.121145199,-0.0002270739935,stable
17,0.0007069790333,0.0007456869353,1.098040098,1.254496865,-0.0006649423647,-0.005565281948,-0.1272512317,-1.121126964,-0.0006649423647,stable
18,0.0006764600907,0.0008113715037,1.247410188,1.111713524,-0.0003879920212,-0.005517926399,-0.1275543055,-1.121148196,-0.0003879920212,stable
19,0.0006662525213,0.0007860220162,1.23193956,1.237180196,-0.0005572463825,-0.005524585764,-0.1273937823,-1.121132806,-0.0005572463825,stable
20,0.0007794872753,0.0006763852673,1.149510297,1.092112059,-0.000645692692,-0.005385514874,-0.1274273799,-1.121149833,-0.000645692692,stable

# mean_exponents,-0.0005882208642,-0.005501406043,-0.1273815901,-1.121137203
# mean_lmax,-0.0005882208642
# max_lmax,-0.0002249127991
# n_chaotic,0
# n_stable,20
